Date,Hour,Temperature,Humidity,Wind.speed
01/12/2017,0,-5.2,37,2.2
01/12/2017,1,-5.5,38,0.8
01/12/2017,2,-6,39,1
01/12/2017,3,-6.2,40,0.9
01/12/2017,4,-6,36,2.3
01/12/2017,5,-6.4,37,1.5
01/12/2017,6,-6.6,35,1.3
01/12/2017,7,-7.4,38,0.9
01/12/2017,8,-7.6,37,1.1
01/12/2017,9,-6.5,27,0.5
01/12/2017,10,-3.5,24,1.2
01/12/2017,11,-0.5,21,1.3
01/12/2017,12,1.7,23,1.4
01/12/2017,13,2.4,25,1.6
01/12/2017,14,3,26,2
01/12/2017,15,2.1,36,3.2
01/12/2017,16,1.2,54,4.2
01/12/2017,17,0.8,58,1.6
01/12/2017,18,0.6,66,1.4
01/12/2017,19,0,77,1.7
01/12/2017,20,-0.3,79,1.5
01/12/2017,21,-0.8,81,0.8
01/12/2017,22,-0.9,83,1.5
01/12/2017,23,-1.3,84,1
02/12/2017,0,-1.8,87,1.1
02/12/2017,1,-2.2,86,0.6
02/12/2017,2,-2.9,86,1.5
02/12/2017,3,-3.5,81,2.2
02/12/2017,4,NA,79,2
02/12/2017,5,-4,79,1.5
02/12/2017,6,-4.3,82,2.1
02/12/2017,7,-4.4,81,2.5
02/12/2017,8,-4.2,79,2.1
02/12/2017,9,-2.9,68,1.6
02/12/2017,10,-0.4,57,1.6
02/12/2017,11,1.9,49,1.8
02/12/2017,12,4.3,41,1.3
02/12/2017,13,6,36,1.8
02/12/2017,14,7.3,35,1.3
02/12/2017,15,7.6,41,2.3
02/12/2017,16,6.4,48,2.6
02/12/2017,17,6,51,2.5
02/12/2017,18,5.5,53,1.5
02/12/2017,19,5,52,2.3
02/12/2017,20,4.6,51,1.2
02/12/2017,21,4.1,55,1.2
02/12/2017,22,3.5,54,1.5
02/12/2017,23,4,56,1
03/12/2017,0,4,58,1.4
03/12/2017,1,3.9,69,1.7
03/12/2017,2,3.3,79,1.4
03/12/2017,3,3.4,71,1.6
03/12/2017,4,3.5,73,1
03/12/2017,5,3.9,75,1.9
03/12/2017,6,3.4,86,2.5
03/12/2017,7,3.1,NA,1.2
03/12/2017,8,3.2,92,1.8
03/12/2017,9,3.5,91,1.8
03/12/2017,10,4.4,89,2.2
03/12/2017,11,5.1,87,1.4
03/12/2017,12,5.8,85,1.7
03/12/2017,13,6.8,81,1.9
03/12/2017,14,7.6,76,1.2
03/12/2017,15,8,73,1.6
03/12/2017,16,7.6,77,1.6
03/12/2017,17,6.7,82,1.5
03/12/2017,18,6,84,1.9
03/12/2017,19,5.7,85,1.7
03/12/2017,20,5.2,87,1.4
03/12/2017,21,4.7,87,1.2
03/12/2017,22,4.3,89,1.8
03/12/2017,23,3.9,90,1.3
